repo,file_path,language,framework,matched_keywords,html_url
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIView+Separator.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIView+Separator.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIView.swift,Swift,Mixed (SwiftUI + UIKit),View {; import UIKit; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIView.swift
soramitsu/fearless-iOS,fearless/Common/Extension/UIKit/UIViewController+Modal.swift,Swift,UIKit,import UIKit; UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/UIKit/UIViewController+Modal.swift
soramitsu/fearless-iOS,fearless/Common/Extension/ViewController+Wrapper.swift,Swift,UIKit,import UIKit; UIViewController; UIView; UINavigationController,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Extension/ViewController+Wrapper.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/AlertControllerFactory.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/AlertControllerFactory.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/AttributedStringDecorator.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/AttributedStringDecorator.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/FearlessKeyboardHandler.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/FearlessKeyboardHandler.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/HexColorConverter.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/HexColorConverter.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/LinkDecorator.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/LinkDecorator.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/MainTransitionHelper.swift,Swift,UIKit,import UIKit; UIViewController; UIView; UINavigationController; UITabBarController,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/MainTransitionHelper.swift
soramitsu/fearless-iOS,fearless/Common/Helpers/ShakeAnimator.swift,Swift,UIKit,UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/ShakeAnimator.swift
